Account,active_days,total_trades,total_realized_trades,total_size_usd,avg_trade_size_usd,gross_pnl,net_pnl,avg_win_rate,exposure_proxy,trades_per_day,pnl_per_trade,activity_segment,exposure_segment,performance_segment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,14733,6279,56543565.23,4495.49655852293,2143382.597689,2127387.27943718,0.7997419813230227,26.736175845885942,57.55078125,145.48174829898866,Infrequent traders,High exposure proxy,Consistent/top winners
0x083384f897ee0f19899168e3b1bec365f52a9012,24,3818,1732,61697263.970000006,33569.102223713766,1600229.819979,1592824.507675,0.7706911497254099,100.0,159.08333333333334,419.1277684596647,Frequent traders,High exposure proxy,Consistent/top winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,21192,9997,68036340.24,4528.364242699367,940163.80622,931567.100553781,0.9498331633731827,100.0,756.8571428571429,44.364090516232544,Frequent traders,High exposure proxy,Consistent/top winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,12236,5482,420876556.36,27603.84521556422,840422.555216,763997.91232431,0.8668135348666396,100.0,313.7435897435897,68.68441935403726,Frequent traders,High exposure proxy,Consistent/top winners
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,40184,22551,74107810.44,1760.5388452412292,836080.553077,822727.65336805,0.8055407335868281,45.38310686897475,306.7480916030534,20.806304824731235,Frequent traders,High exposure proxy,Consistent/top winners
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,4356,2233,39572949.25,16024.724760769133,677747.050643,669721.05824881,0.9126012876012876,40.23253940059428,75.10344827586206,155.58931373806246,Frequent traders,High exposure proxy,Consistent/top winners
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,1590,737,11474500.92,9367.295108536868,429355.565915,427804.1286487099,0.5299145299145299,75.32644577391778,83.6842105263158,270.0349471163522,Frequent traders,High exposure proxy,Consistent/top winners
0x430f09841d65beb3f27765503d0f850b8bce7713,28,1237,599,2966109.22,2525.945975144083,416541.872341,415794.86541,1.0,6.245061287012643,44.17857142857143,336.735547567502,Infrequent traders,Low exposure proxy,Consistent/top winners
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,66,1430,564,3051144.33,4840.92212840505,403011.504159,402721.49311084,0.7983957219251336,23.369440245874173,21.666666666666668,281.8262266846154,Infrequent traders,Low exposure proxy,Consistent/top winners
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,9893,8660,25729497.24,3354.2092903010684,379095.406711,376500.14756932,0.8804709200721843,16.30823569639135,67.76027397260275,38.3195599627009,Frequent traders,Low exposure proxy,Consistent/top winners
0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,7584,2949,129672529.28,16038.456425115373,308975.869716,268251.402313,0.9598035894545963,8.642787175156432,23.626168224299064,40.740489150316456,Infrequent traders,Low exposure proxy,Consistent/top winners
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,67,2641,1177,20737391.71,10511.08274482338,220519.06185300002,215745.96336857002,0.5507125944842794,94.78393588063514,39.417910447761194,83.49831952025748,Infrequent traders,High exposure proxy,Middle performers
0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,383,90,1987527.6099999999,8334.762260556681,199505.592732,199237.625643021,1.0,19.36451168399297,19.15,520.9023308929503,Infrequent traders,Low exposure proxy,Middle performers
0x2c229d22b100a7beb69122eed721cee9b24011dd,69,3239,2060,10166880.2,2553.7570373757217,168658.004994,165549.808272,0.7615892289549481,7.19177063668563,46.94202898550725,52.0710111126891,Infrequent traders,Low exposure proxy,Middle performers
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,13311,6772,6757022.1,484.8442941619222,132464.814554,130246.4471875491,0.8834986162967678,11.19397081296777,82.16666666666667,9.951529904139434,Frequent traders,Low exposure proxy,Middle performers
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,18,3052,892,10992355.74,12481.488695021257,126578.942134,123756.98333474,0.8688811188811189,79.08049550537591,169.55555555555554,41.47409637418087,Frequent traders,High exposure proxy,Middle performers
0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,975,426,728057.51,867.1703611532234,108731.216772,108544.3806950676,0.9533730158730158,7.10747622769222,20.74468085106383,111.51919668923077,Infrequent traders,Low exposure proxy,Middle performers
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,64,15605,5561,19868207.98,1273.0527781456335,106302.875256,104014.9198228958,0.9719059123267462,41.822295267875205,243.828125,6.81210350887536,Frequent traders,High exposure proxy,Middle performers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,8519,3663,4408828.9,516.6442989710463,103343.716161,102112.8696398181,0.8128397849603801,13.47781357087408,59.15972222222222,12.130967972884141,Infrequent traders,Low exposure proxy,Middle performers
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,37,417,255,861809.4,2007.3297785771122,72846.484272,72656.54626749,0.6666666666666666,92.01744873204494,11.27027027027027,174.6918088057554,Infrequent traders,High exposure proxy,Middle performers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,563,230,1677425.7200000002,2959.4760618012087,67845.619531,67296.89026639,1.0,23.960925839507404,37.53333333333333,120.50731710657195,Infrequent traders,Low exposure proxy,Middle performers
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,1911,714,11999173.370000001,5475.174210575846,65513.657906,62128.77568742,0.8301391760610106,20.259434296963825,35.388888888888886,34.2823955552067,Infrequent traders,Low exposure proxy,Low/negative performers
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,332,158,1143896.46,9812.51560528366,53496.247243000005,53319.973067083,1.0,8.83015760878158,11.857142857142858,161.13327482831326,Infrequent traders,Low exposure proxy,Low/negative performers
